Address,"Clean Air Act","Danger Level"
"1000 BRIGHTON ST.",Yes,1
"1000 COOLIDGE ST",Yes,1
"1000 FIRST ST.",Yes,1
"1000 SOUTH ELMORA AVE",Yes,1
"1000 VALLEY RD.",Yes,1
"1001 LOWER LANDING RD",Yes,1
"100 CENTRAL AVE BLDG #171",Yes,1
"100 COMMERCE DR",Yes,1
"100 COMMERCE WAY",Yes,1
"100 DOWD AVE",Yes,1
"100 ESSEX AVE E",Yes,1
"100 HACKENSACK AVE",Yes,1
"100 MINUE ST.",Yes,1
"100 SIXTH AVE.",Yes,2
"100 SOMGYI CT.",Yes,1
"100 TERMINAL AVE.",Yes,1
"100 WASHINGTON ST.",Yes,1
"100 W HUNTER AVE",Yes,1
"1011 MORRIS AVE",Yes,1
"1016 W EDGAR RD",Yes,2
"101 ALEXANDER AVE.",Yes,1
"101 BILBY RD SUITE E",Yes,1
"101 BROAD AVE",Yes,1
"101 E MAIN ST",Yes,1
"101 RAILROAD AVE",Yes,1
"103 BILBY RD",Yes,1
"103 YELLOWBROOK RD.",Yes,1
"104  RTE. 73",Yes,1
"104 WAGARAW RD.",Yes,1
"1050 RIVER ST",Yes,1
"105 HUDSON ST.",Yes,1
"105 JACOBUS AVE",Yes,2
"1061 LOUSONS RD",Yes,1
"1065 MARKET ST",Yes,1
"106 KENNEY PL.",Yes,1
"107 TRUMBULL ST.",Yes,1
"108 JOHNSON ST.",Yes,1
"109 45TH ST",Yes,1
"109 FIFTH AVE.",Yes,2
"109 KERO RD",Yes,1
"109 N. 5TH ST.",Yes,1
"10 CLIFTON BLVD.",Yes,1
"10 GORDON DR",Yes,1
"10 HARMICH RD",Yes,1
"10 HOOK RD",Yes,1
"10 INDUSTRIAL WAY E",Yes,1
"10 KINGSLAND ST",Yes,1
"10 NORTH AVE. E.",Yes,1
"10 POMEROY RD",Yes,1
"10 PRODUCTION WAY",Yes,1
"10 ROBERT ST",Yes,1
"10 RUCKLE AVE.",Yes,1
"110 E. CUSHMAN AVE.",Yes,1
"110 S. NEWMAN ST.",Yes,1
"110 WOODCREST RD",Yes,1
"1110 SPRINGFIELD RD.",Yes,1
"1111 DELANCY ST",Yes,2
"111 LEHIGH DR.",Yes,1
"111 SNYDER RD.",Yes,2
"111 SPRING ST.",Yes,1
"111 STATE ST",Yes,2
"1125 PLEASANTVIEW TERRACE",Yes,1
"1132 CLINTON ST.",Yes,1
"113 PASSAIC AVE",Yes,1
"114 IRON MOUNTAIN RD.",Yes,1
"115-117 MOONACHIE AVE.",Yes,1
"1155 BLOOMFIELD AVE.",Yes,1
"115 CHESTNUT ST.",Yes,1
"115 SKYLINE DR.",Yes,1
"116 SUMMIT AVE",Yes,1
"117 BLANCHARD ST.",Yes,1
"117 MOONACHIE AVE",Yes,1
"118 VICTORY AVE",Yes,1
"11 CRAGWOOD RD",Yes,2
"11 FOUNDRY ST",Yes,1
"11 JACKSON RD.",Yes,1
"11 MADISON RD",Yes,1
"11 WILLIAM ST.",Yes,1
"1200 SYLVAN ST",Yes,2
"1200 W. BLANCKE ST.",Yes,1
"1201 BOWMAN AVE",Yes,1
"1201 W. BLANKE ST.",Yes,1
"120 DUFFIELD AVE",Yes,1
"120 INDUSTRIAL AVE",Yes,1
"120 LISTER AVE.",Yes,1
"121 HWY 35",Yes,1
"121 TYLER ST.",Yes,1
"1227 CENTRAL AVE",Yes,1
"123 N 8TH ST",Yes,1
"1249 NEWARK TURNPIKE",Yes,1
"124 CASE DR",Yes,1
"1253 NEW MARKET AVE",Yes,1
"1255 RARITAN RD",Yes,1
"125 BERGENLINE AVE.",Yes,1
"125 CLARK ST.",Yes,1
"125 CLIFTON BLVD",Yes,1
"125 DELAWANNA AVE.",Yes,2
"125 HAMBURG TURNPIKE",Yes,1
"125 MAIN AVENUE",Yes,1
"125 NEW DUTCH LN",Yes,1
"125 THEODORE CONRAD DR.",Yes,1
"126 E LINCOLN AVE",Yes,2
"126 PASSAIC ST",Yes,1
"128 DOREMUS AVE",Yes,2
"129 COOLIDGE AVE",Yes,1
"129 DERMODY ST",Yes,1
"129 GRAND ST.",Yes,2
"129 LOCKWOOD ST",Yes,1
"12 AMSTERDAM ST",Yes,1
"12 CLIFFSIDE DR.",Yes,1
"12 CORK HILL RD.",Yes,1
"12 HOLLAND AVE",Yes,1
"12 INDUSTRIAL PARK",Yes,1
"12 RIVER RD",Yes,1
"12 TIMBER LN.",Yes,1
"1300 RARITAN RD.",Yes,1
"1301 JEFFERSON ST",Yes,1
"1301 S. PARK AVE.",Yes,1
"130 ESSEX AVE E",Yes,1
"131 MARSH ST",Yes,1
"134 LISTER AVE",Yes,2
"1355 W. FRONT ST.",Yes,1
"135 HAYNES AVE.",Yes,1
"1384 POMPTON AVE.",Yes,1
"139 HAYNES AVE",Yes,1
"1400 PARK AVE",Yes,2
"1400 PARK AVE.",Yes,1
"1400 ROLLER RD.",Yes,1
"1401 PARK AVE. S.",Yes,1
"140 E 22ND ST",Yes,1
"140 GREEN POND RD.",Yes,1
