Address,"Clean Air Act","Fugair Amount",PBT,"Water Amount"
"1000 BRIGHTON ST.",No,"5 Pounds",NON_PBT,"0 Pounds"
"1000 BRIGHTON ST.",Yes,"5 Pounds",NON_PBT,"0 Pounds"
"1000 BRIGHTON ST.",Yes,"5 Pounds",NON_PBT,"5 Pounds"
"1000 COOLIDGE ST",No," Pounds",NON_PBT," Pounds"
"1000 COOLIDGE ST",Yes," Pounds",NON_PBT," Pounds"
"1000 FIRST ST.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"1000 SOUTH ELMORA AVE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"1000 VALLEY RD.",No,"0 Pounds",NON_PBT,"0 Pounds"
"1000 VALLEY RD.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"1001 LOWER LANDING RD",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"100 BURMA RD.",No,"8905 Pounds",NON_PBT,"0 Pounds"
"100 CAROL PL",No,"7 Pounds",NON_PBT,"0 Pounds"
"100 CENTRAL AVE BLDG #171",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"100 COMMERCE DR",No,"0 Pounds",NON_PBT,"0 Pounds"
"100 COMMERCE DR",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"100 COMMERCE WAY",Yes,"1 Pounds",NON_PBT,"0 Pounds"
"100 DOWD AVE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"100 E. DICKERSON ST.",No,"0 Pounds",NON_PBT,"0 Pounds"
"100 ESSEX AVE E",Yes," Pounds",NON_PBT," Pounds"
"100 HACKENSACK AVE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"100 HOWARD BLVD.",No,"1414 Pounds",NON_PBT,"0 Pounds"
"100 JEFFERSON RD",No,"0 Pounds",NON_PBT,"0 Pounds"
"100 MINUE ST.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"100 OAKDALE RD.",No,"0 Pounds",NON_PBT,"0 Pounds"
"100 SOMGYI CT.",No,"0 Pounds",NON_PBT,"0 Pounds"
"100 SOMGYI CT.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"100 TERMINAL AVE.",No," Pounds",NON_PBT," Pounds"
"100 TERMINAL AVE.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"100 TERMINAL AVE.",Yes," Pounds",NON_PBT," Pounds"
"100 TRUMBULL STREET",No,"22000 Pounds",NON_PBT,"0 Pounds"
"100 WASHINGTON ST.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"100 W END RD",No,"10800 Pounds",NON_PBT,"0 Pounds"
"100 W HUNTER AVE",No," Pounds",NON_PBT," Pounds"
"100 W HUNTER AVE",Yes,"82 Pounds",NON_PBT,"0 Pounds"
"1011 MORRIS AVE",Yes,"151.5 Pounds",NON_PBT,"0 Pounds"
"1011 MORRIS AVE",Yes,"171 Pounds",NON_PBT,"0 Pounds"
"1011 MORRIS AVE",Yes,"2653 Pounds",NON_PBT,"0 Pounds"
"1011 MORRIS AVE",Yes,"403.9 Pounds",NON_PBT,"0 Pounds"
"101 ALEXANDER AVE.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"101 ARLINGTON BLVD",No,"14884 Pounds",NON_PBT,"0 Pounds"
"101 BILBY RD SUITE E",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"101 BROAD AVE",Yes,"27 Pounds",NON_PBT,"0 Pounds"
"101 E MAIN ST",Yes,"2192 Pounds",NON_PBT,"0 Pounds"
"101 RAILROAD AVE",No,"0 Pounds",NON_PBT,"0 Pounds"
"101 RAILROAD AVE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"1029 NEWARK AVE",No," Pounds",NON_PBT," Pounds"
"1035 BELLEVILLE TURNPIKE",No,"5 Pounds",NON_PBT,"0 Pounds"
"103 BILBY RD",No,"0 Pounds",NON_PBT,"0 Pounds"
"103 BILBY RD",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"103 CENTRAL AVE.",No,"0 Pounds",NON_PBT,"0 Pounds"
"103 DEWEY ST",No," Pounds",NON_PBT," Pounds"
"103 YELLOWBROOK RD.",Yes,".1 Pounds",NON_PBT,"0 Pounds"
"104 NEW ERA DR",No,"0 Pounds",NON_PBT,"0 Pounds"
"104  RTE. 73",Yes,"130 Pounds",NON_PBT,"0 Pounds"
"104 WAGARAW RD.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"104 WAGARAW RD.",Yes,"36825 Pounds",NON_PBT,"0 Pounds"
"1050 RIVER ST",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"105 HUDSON ST.",No,"250 Pounds",NON_PBT,"0 Pounds"
"105 HUDSON ST.",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"1061 LOUSONS RD",Yes," Pounds",NON_PBT," Pounds"
"1065 MARKET ST",Yes,"1 Pounds",NON_PBT,"0 Pounds"
"106 KENNEY PL.",No,"0 Pounds",NON_PBT,"0 Pounds"
"106 KENNEY PL.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"107 TRUMBULL ST.",Yes,"8000 Pounds",NON_PBT," Pounds"
"107 WADE AVE.",No," Pounds",NON_PBT," Pounds"
"108-34 JOHNSON ST.",No,"750 Pounds",NON_PBT,"0 Pounds"
"108 JOHNSON ST.",No,"0 Pounds",NON_PBT,"0 Pounds"
"108 JOHNSON ST.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"109 45TH ST",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"109 ELBOW LN",No,"24 Pounds",NON_PBT,"0 Pounds"
"109 KERO RD",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"109 N. 5TH ST.",Yes,"0 Pounds",NON_PBT," Pounds"
"10 CHARLES ST",No,"5 Pounds",NON_PBT,"0 Pounds"
"10 CLIFTON BLVD.",Yes,"2890 Pounds",NON_PBT,"0 Pounds"
"10 GORDON DR",Yes," Pounds",NON_PBT," Pounds"
"10 HARMICH RD",No,"0 Pounds",NON_PBT,"0 Pounds"
"10 HARMICH RD",Yes,"1 Pounds",NON_PBT,"0 Pounds"
"10 HOOK RD",No,"458 Pounds",NON_PBT,"0 Pounds"
"10 HOOK RD",Yes," Pounds",NON_PBT," Pounds"
"10 INDUSTRIAL WAY E",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"10 KINGSLAND ST",Yes,".5 Pounds",NON_PBT,"0 Pounds"
"10 NORTH AVE. E.",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"10 POMEROY RD",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"10 PRODUCTION WAY",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"10 ROBERT ST",No,"0 Pounds",NON_PBT,"0 Pounds"
"10 ROBERT ST",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"10 RUCKLE AVE.",Yes,"8 Pounds",NON_PBT,"0 Pounds"
"10 RUCKLE AVE.",Yes,"9 Pounds",NON_PBT,"0 Pounds"
"10 THOMAS RD",No,"0 Pounds",NON_PBT,"0 Pounds"
"10 THOMAS RD",No,"5 Pounds",NON_PBT,"0 Pounds"
"1101 E PEARL ST",No,"3694 Pounds",NON_PBT,"0 Pounds"
