Address,Brownfield,County,"Danger Level","Water Amount"
"1000 BRIGHTON ST.",N/A,UNION,1,"0 Pounds"
"1000 BRIGHTON ST.",N/A,UNION,1,"5 Pounds"
"1000 COOLIDGE ST",N/A,MIDDLESEX,1," Pounds"
"1000 FIRST ST.",N/A,HUDSON,1,"0 Pounds"
"1000 SOUTH ELMORA AVE",N/A,UNION,1,"0 Pounds"
"1000 VALLEY RD.",N/A,MORRIS,1,"0 Pounds"
"1001 LOWER LANDING RD",N/A,CAMDEN,1,"0 Pounds"
"100 CENTRAL AVE BLDG #171",N/A,HUDSON,1,"0 Pounds"
"100 COMMERCE DR",N/A,MONMOUTH,1,"0 Pounds"
"100 COMMERCE WAY",N/A,BERGEN,1,"0 Pounds"
"100 DOWD AVE",N/A,UNION,1,"0 Pounds"
"100 ESSEX AVE E",N/A,MIDDLESEX,1," Pounds"
"100 HACKENSACK AVE",N/A,HUDSON,1,"0 Pounds"
"100 MINUE ST.",N/A,MIDDLESEX,1,"0 Pounds"
"100 SIXTH AVE.",N/A,PASSAIC,2,"0 Pounds"
"100 SOMGYI CT.",N/A,MIDDLESEX,1,"0 Pounds"
"100 TERMINAL AVE.",N/A,UNION,1,"0 Pounds"
"100 TERMINAL AVE.",N/A,UNION,1," Pounds"
"100 WASHINGTON ST.",N/A,MORRIS,1,"0 Pounds"
"100 W HUNTER AVE",N/A,BERGEN,1,"0 Pounds"
"1011 MORRIS AVE",N/A,UNION,1,"0 Pounds"
"1016 W EDGAR RD",N/A,UNION,2,"0 Pounds"
"101 ALEXANDER AVE.",N/A,MORRIS,1,"0 Pounds"
"101 BILBY RD SUITE E",N/A,WARREN,1,"0 Pounds"
"101 BROAD AVE",N/A,BERGEN,1,"0 Pounds"
"101 E MAIN ST",N/A,PASSAIC,1,"0 Pounds"
"101 RAILROAD AVE",N/A,BERGEN,1,"0 Pounds"
"103 BILBY RD",N/A,WARREN,1,"0 Pounds"
"103 YELLOWBROOK RD.",N/A,MONMOUTH,1,"0 Pounds"
"104  RTE. 73",N/A,CAMDEN,1,"0 Pounds"
"104 WAGARAW RD.",N/A,PASSAIC,1,"0 Pounds"
"1050 RIVER ST",N/A,BERGEN,1,"0 Pounds"
"105 HUDSON ST.",N/A,HUDSON,1,"0 Pounds"
"105 JACOBUS AVE",N/A,HUDSON,2,".0266 Pounds"
"105 JACOBUS AVE",N/A,HUDSON,2,"0 Pounds"
"105 JACOBUS AVE",N/A,HUDSON,2,".4087 Pounds"
"1061 LOUSONS RD",N/A,UNION,1," Pounds"
"1065 MARKET ST",N/A,PASSAIC,1,"0 Pounds"
"106 KENNEY PL.",N/A,BERGEN,1,"0 Pounds"
"107 TRUMBULL ST.",N/A,UNION,1," Pounds"
"108 JOHNSON ST.",N/A,ESSEX,1,"0 Pounds"
"109 45TH ST",N/A,HUDSON,1,"0 Pounds"
"109 FIFTH AVE.",N/A,PASSAIC,2,"0 Pounds"
"109 KERO RD",N/A,BERGEN,1,"0 Pounds"
"109 N. 5TH ST.",N/A,BERGEN,1," Pounds"
"10 CLIFTON BLVD.",N/A,PASSAIC,1,"0 Pounds"
"10 GORDON DR",N/A,PASSAIC,1," Pounds"
"10 HARMICH RD",N/A,MIDDLESEX,1,"0 Pounds"
"10 HOOK RD",N/A,HUDSON,1," Pounds"
"10 INDUSTRIAL WAY E",N/A,MONMOUTH,1,"0 Pounds"
"10 KINGSLAND ST",N/A,ESSEX,1,"0 Pounds"
"10 NORTH AVE. E.",N/A,UNION,1,"0 Pounds"
"10 POMEROY RD",N/A,MORRIS,1,"0 Pounds"
"10 PRODUCTION WAY",N/A,MIDDLESEX,1,"0 Pounds"
"10 ROBERT ST",N/A,PASSAIC,1,"0 Pounds"
"10 RUCKLE AVE.",N/A,MONMOUTH,1,"0 Pounds"
"110 E. CUSHMAN AVE.",N/A,CAMDEN,1,"0 Pounds"
"110 S. NEWMAN ST.",N/A,BERGEN,1,"0 Pounds"
"110 WOODCREST RD",N/A,CAMDEN,1,"0 Pounds"
"1110 SPRINGFIELD RD.",N/A,UNION,1,"28 Pounds"
"1110 SPRINGFIELD RD.",N/A,UNION,1," Pounds"
"1111 DELANCY ST",N/A,ESSEX,2,"0 Pounds"
"1111 DELANCY ST",N/A,ESSEX,2," Pounds"
"111 LEHIGH DR.",N/A,ESSEX,1,"0 Pounds"
"111 SNYDER RD.",N/A,MIDDLESEX,2,"0 Pounds"
"111 SPRING ST.",N/A,UNION,1,"0 Pounds"
"111 STATE ST",N/A,MIDDLESEX,2,"0 Pounds"
"111 STATE ST",N/A,MIDDLESEX,2,"133 Pounds"
"111 STATE ST",N/A,MIDDLESEX,2,"13 Pounds"
"111 STATE ST",N/A,MIDDLESEX,2,".1 Pounds"
"111 STATE ST",N/A,MIDDLESEX,2,"1 Pounds"
"111 STATE ST",N/A,MIDDLESEX,2,"2 Pounds"
"111 STATE ST",N/A,MIDDLESEX,2,"43 Pounds"
"111 STATE ST",N/A,MIDDLESEX,2,"5 Pounds"
"111 STATE ST",N/A,MIDDLESEX,2,"70 Pounds"
"111 STATE ST",N/A,MIDDLESEX,2,"8 Pounds"
"1125 PLEASANTVIEW TERRACE",N/A,BERGEN,1,"0 Pounds"
"1132 CLINTON ST.",N/A,HUDSON,1," Pounds"
"113 PASSAIC AVE",N/A,HUDSON,1,"0 Pounds"
"113 PASSAIC AVE",N/A,HUDSON,1,".16 Pounds"
"114 IRON MOUNTAIN RD.",N/A,MORRIS,1,"0 Pounds"
"115-117 MOONACHIE AVE.",N/A,BERGEN,1,"0 Pounds"
"1155 BLOOMFIELD AVE.",N/A,PASSAIC,1,"0 Pounds"
"115 CHESTNUT ST.",N/A,ESSEX,1,"0 Pounds"
"115 CHESTNUT ST.",N/A,ESSEX,1,"250 Pounds"
"115 SKYLINE DR.",N/A,MIDDLESEX,1,"0 Pounds"
"116 SUMMIT AVE",N/A,MORRIS,1,"0 Pounds"
"117 BLANCHARD ST.",N/A,ESSEX,1,"0 Pounds"
"117 BLANCHARD ST.",N/A,ESSEX,1," Pounds"
"117 MOONACHIE AVE",N/A,BERGEN,1,"0 Pounds"
"118 VICTORY AVE",N/A,UNION,1,"0 Pounds"
"11 CRAGWOOD RD",N/A,MIDDLESEX,2,"0 Pounds"
"11 FOUNDRY ST",N/A,WARREN,1,"0 Pounds"
"11 FOUNDRY ST",N/A,WARREN,1,"448 Pounds"
"11 JACKSON RD.",N/A,PASSAIC,1,"0 Pounds"
"11 MADISON RD",N/A,ESSEX,1,"0 Pounds"
"11 WILLIAM ST.",N/A,ESSEX,1,"0 Pounds"
"1200 SYLVAN ST",N/A,UNION,2,"0 Pounds"
"1200 W. BLANCKE ST.",N/A,UNION,1,"0 Pounds"
"1201 BOWMAN AVE",N/A,MONMOUTH,1," Pounds"
"1201 W. BLANKE ST.",N/A,UNION,1,"0 Pounds"
"120 DUFFIELD AVE",N/A,HUDSON,1,"0 Pounds"
"120 INDUSTRIAL AVE",N/A,BERGEN,1,"0 Pounds"
"120 LISTER AVE.",N/A,ESSEX,1,"0 Pounds"
"120 LISTER AVE.",N/A,ESSEX,1," Pounds"
"121 HWY 35",N/A,MONMOUTH,1,"0 Pounds"
"121 TYLER ST.",N/A,ESSEX,1,"0 Pounds"
"1227 CENTRAL AVE",N/A,UNION,1,"0 Pounds"
"123 N 8TH ST",N/A,UNION,1,"0 Pounds"
"1249 NEWARK TURNPIKE",N/A,HUDSON,1,"0 Pounds"
"124 CASE DR",N/A,MIDDLESEX,1," Pounds"
"1253 NEW MARKET AVE",N/A,MIDDLESEX,1," Pounds"
"1255 RARITAN RD",N/A,UNION,1,"0 Pounds"
"125 BERGENLINE AVE.",N/A,BERGEN,1,"0 Pounds"
"125 CLARK ST.",N/A,BERGEN,1,"0 Pounds"
"125 CLIFTON BLVD",N/A,PASSAIC,1,"0 Pounds"
"125 DELAWANNA AVE.",N/A,PASSAIC,2,"0 Pounds"
"125 HAMBURG TURNPIKE",N/A,MORRIS,1,"0 Pounds"
"125 MAIN AVENUE",N/A,BERGEN,1," Pounds"
"125 NEW DUTCH LN",N/A,ESSEX,1,"0 Pounds"
"125 THEODORE CONRAD DR.",N/A,HUDSON,1,"0 Pounds"
"126 E LINCOLN AVE",N/A,UNION,2,"0 Pounds"
"126 PASSAIC ST",N/A,ESSEX,1," Pounds"
"128 DOREMUS AVE",N/A,ESSEX,2,"0 Pounds"
"128 DOREMUS AVE",N/A,ESSEX,2," Pounds"
"129 COOLIDGE AVE",N/A,BERGEN,1,"0 Pounds"
