Address,Brownfield,Carcinogenic,"Chemical Name"
"1000 BRIGHTON ST.",N/A,Yes,LEAD
"1000 FIRST ST.",N/A,Yes,STYRENE
"1000 SOUTH ELMORA AVE",N/A,Yes,TETRACHLOROETHYLENE
"100 CAROL PL",N/A,Yes,"TOLUENE DIISOCYANATE (MIXED ISOMERS)"
"100 COMMERCE DR",N/A,Yes,LEAD
"100 SIXTH AVE.",N/A,Yes,DICHLOROMETHANE
"100 SIXTH AVE.",N/A,Yes,TETRACHLOROETHYLENE
"100 SOMGYI CT.",N/A,Yes,"DI(2-ETHYLHEXYL) PHTHALATE"
"100 TERMINAL AVE.",N/A,Yes,BERYLLIUM
"100 TERMINAL AVE.",N/A,Yes,LEAD
"100 WASHINGTON ST.",N/A,Yes,LEAD
"101 ALEXANDER AVE.",N/A,Yes,LEAD
"101 BILBY RD SUITE E",N/A,Yes,LEAD
"101 E MAIN ST",N/A,Yes,DICHLOROMETHANE
"101 RAILROAD AVE",N/A,Yes,"DI(2-ETHYLHEXYL) PHTHALATE"
"103 YELLOWBROOK RD.",N/A,Yes,LEAD
"104 WAGARAW RD.",N/A,Yes,DICHLOROMETHANE
"1050 RIVER ST",N/A,Yes,"BENZO(G,H,I)PERYLENE"
"1050 RIVER ST",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"1061 LOUSONS RD",N/A,Yes,CHROMIUM
"109 45TH ST",N/A,Yes,LEAD
"109 N. 5TH ST.",N/A,Yes,NICKEL
"10 GORDON DR",N/A,Yes,ACETALDEHYDE
"10 INDUSTRIAL WAY E",N/A,Yes,LEAD
"10 KINGSLAND ST",N/A,Yes,LEAD
"10 PRODUCTION WAY",N/A,Yes,"VINYL CHLORIDE"
"110 E. CUSHMAN AVE.",N/A,Yes,STYRENE
"110 S. NEWMAN ST.",N/A,Yes,CHROMIUM
"1110 SPRINGFIELD RD.",N/A,Yes,CHROMIUM
"1110 SPRINGFIELD RD.",N/A,Yes,NICKEL
"1110 SPRINGFIELD RD.",N/A,Yes,TRICHLOROETHYLENE
"1111 DELANCY ST",N/A,Yes,"BENZO(G,H,I)PERYLENE"
"1111 DELANCY ST",N/A,Yes,LEAD
"1111 DELANCY ST",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"111 SPRING ST.",N/A,Yes,"ETHYLENE OXIDE"
"111 STATE ST",N/A,Yes,BENZENE
"111 STATE ST",N/A,Yes,"BENZO(G,H,I)PERYLENE"
"111 STATE ST",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"111 STATE ST",N/A,Yes,STYRENE
"1125 PLEASANTVIEW TERRACE",N/A,Yes,CHLOROFORM
"1132 CLINTON ST.",N/A,Yes,NICKEL
"115 CHESTNUT ST.",N/A,Yes,DICHLOROMETHANE
"116 SUMMIT AVE",N/A,Yes,FORMALDEHYDE
"117 BLANCHARD ST.",N/A,Yes,HYDRAZINE
"117 BLANCHARD ST.",N/A,Yes,"N,N-DIMETHYLFORMAMIDE"
"118 VICTORY AVE",N/A,Yes,LEAD
"11 CRAGWOOD RD",N/A,Yes,"COBALT COMPOUNDS"
"11 FOUNDRY ST",N/A,Yes,FORMALDEHYDE
"11 JACKSON RD.",N/A,Yes,CHROMIUM
"11 MADISON RD",N/A,Yes,LEAD
"1200 SYLVAN ST",N/A,Yes,"ETHYL ACRYLATE"
"1200 SYLVAN ST",N/A,Yes,LEAD
"1200 SYLVAN ST",N/A,Yes,"N,N-DIMETHYLFORMAMIDE"
"120 INDUSTRIAL AVE",N/A,Yes,STYRENE
"1249 NEWARK TURNPIKE",N/A,Yes,"BENZO(G,H,I)PERYLENE"
"1249 NEWARK TURNPIKE",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"125 CLARK ST.",N/A,Yes,CHROMIUM
"125 DELAWANNA AVE.",N/A,Yes,"VINYL ACETATE"
"125 HAMBURG TURNPIKE",N/A,Yes,"BENZO(G,H,I)PERYLENE"
"125 HAMBURG TURNPIKE",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"125 NEW DUTCH LN",N/A,Yes,LEAD
"126 E LINCOLN AVE",N/A,Yes,DICHLOROMETHANE
"126 E LINCOLN AVE",N/A,Yes,"N,N-DIMETHYLFORMAMIDE"
"128 DOREMUS AVE",N/A,Yes,DICHLOROMETHANE
"128 DOREMUS AVE",N/A,Yes,EPICHLOROHYDRIN
"129 GRAND ST.",N/A,Yes,ACRYLONITRILE
"129 GRAND ST.",N/A,Yes,STYRENE
"129 GRAND ST.",N/A,Yes,URETHANE
"12 AMSTERDAM ST",N/A,Yes,DICHLOROMETHANE
"12 CORK HILL RD.",N/A,Yes,TRICHLOROETHYLENE
"12 HOLLAND AVE",N/A,Yes,CHROMIUM
"12 HOLLAND AVE",N/A,Yes,NICKEL
"12 INDUSTRIAL PARK",N/A,Yes,DICHLOROMETHANE
"12 RIVER RD",N/A,Yes,CHROMIUM
"12 RIVER RD",N/A,Yes,NICKEL
"12 TIMBER LN.",N/A,Yes,STYRENE
"1300 RARITAN RD.",N/A,Yes,CHROMIUM
"134 LISTER AVE",N/A,Yes,LEAD
"134 LISTER AVE",N/A,Yes,"VINYL ACETATE"
"139 HAYNES AVE",N/A,Yes,LEAD
"13 MANOR RD",N/A,Yes,"TOLUENE DIISOCYANATE (MIXED ISOMERS)"
"1400 PARK AVE.",N/A,Yes,"1,3-BUTADIENE"
"140 GREEN POND RD.",N/A,Yes,LEAD
"140 LEGRAND AVE.",N/A,Yes,DICHLOROMETHANE
"1413 CHESTNUT AVE.",N/A,Yes,STYRENE
"141 MARKET ST",N/A,Yes,COBALT
"142 LOCKWOOD ST",N/A,Yes,"DIETHYL SULFATE"
"145 CHAPEL ST.",N/A,Yes,FORMALDEHYDE
"148 E FIFTH ST",N/A,Yes,STYRENE
"148 E FIFTH ST",N/A,Yes,"VINYL ACETATE"
"14 CENTRAL BLVD.",N/A,Yes,LEAD
"14 CENTRAL BLVD.",N/A,Yes,STYRENE
"150 FIRMENICH WAY",N/A,Yes,FORMALDEHYDE
"1512 W ELIZABETH AVE",N/A,Yes,"ETHYL ACRYLATE"
"1512 W ELIZABETH AVE",N/A,Yes,STYRENE
"155 RAYMOND BLVD",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"15 MERCEDES DR",N/A,Yes,LEAD
"1-5 PLANT RD.",N/A,Yes,CHROMIUM
"1-5 PLANT RD.",N/A,Yes,NICKEL
"160 E UNION AVE",N/A,Yes,NICKEL
"161 RAILROAD AVE",N/A,Yes,CHROMIUM
"161 W CLAY AVE",N/A,Yes,LEAD
"162 VETERANS DR",N/A,Yes,TETRACHLOROETHYLENE
"164 N 13TH ST",N/A,Yes,LEAD
"16 RICHMOND ST",N/A,Yes,LEAD
"1700 W. FRONT ST.",N/A,Yes,"ETHYL ACRYLATE"
"170 RT 130 S",N/A,Yes,"PROPYLENE OXIDE"
"171 CENTRAL AVE",N/A,Yes,CHROMIUM
"171 CENTRAL AVE",N/A,Yes,NICKEL
"171 S NEWMAN ST",N/A,Yes,LEAD
"173 SUSSEX ST",N/A,Yes,FORMALDEHYDE
"175 RTE. 208",N/A,Yes,DICHLOROMETHANE
"175 TERMINAL AVE.",N/A,Yes,LEAD
"17 WEST ST.",N/A,Yes,DICHLOROMETHANE
"1804 RIVER RD",N/A,Yes,"DI(2-ETHYLHEXYL) PHTHALATE"
"18 MALVERN ST.",N/A,Yes,TRICHLOROETHYLENE
"191 E HANOVER AVE",N/A,Yes,FORMALDEHYDE
"1930 OLNEY AVE",N/A,Yes,LEAD
"195 RIVER ST.",N/A,Yes,STYRENE
"196 WEST 5TH ST.",N/A,Yes,"ASBESTOS (FRIABLE)"
"1 CLIFTON BLVD",N/A,Yes,CHROMIUM
"1 CLIFTON BLVD",N/A,Yes,NICKEL
"1 JABEZ ST.",N/A,Yes,"DI(2-ETHYLHEXYL) PHTHALATE"
"1 MARKET ST",N/A,Yes,"POLYCHLORINATED BIPHENYLS"
"1 REAGENT LN",N/A,Yes,DICHLOROMETHANE
"1 REAGENT LN",N/A,Yes,FORMALDEHYDE
"1 SHERIDAN AVE.",N/A,Yes,TRICHLOROETHYLENE
"1 TENAKILL PARK",N/A,Yes,CHROMIUM
"1 TENAKILL PARK",N/A,Yes,NICKEL
"2000 MARSHES DOCK RD",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"20-01 POLLITT DR",N/A,Yes,CHROMIUM
"20-01 POLLITT DR",N/A,Yes,COBALT
"200 BIRMINGHAM RD",N/A,Yes,"BENZO(G,H,I)PERYLENE"
"200 BIRMINGHAM RD",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"200 BIRMINGHAM RD",N/A,Yes,PROPYLENEIMINE
"200 BIRMINGHAM RD",N/A,Yes,STYRENE
"200 E. HANOVER AVE.",N/A,Yes,ARSENIC
"200 PULASKI ST.",N/A,Yes,"DIMETHYL SULFATE"
"200 PULASKI ST.",N/A,Yes,"STYRENE OXIDE"
"20-10 MAPLE AVE.",N/A,Yes,DICHLOROMETHANE
