"District No",Name,Party
2,"Chris A. Brown",Republican
2,"Jim Whelan",Democrat
2,"Vincent Mazzeo",Democrat
3,"Celeste M Riley",Democrat
3,"John J. Burzichelli",Democrat
3,"Stephen M. Sweeney",Democrat
4,"Fred H Madden Jr.",Democrat
4,"Gabriela M. Mosquera",Democrat
4,"Paul D Moriarty",Democrat
5,"Angel Fuentes",Democrat
5,"Donald Norcross",Democrat
5,"Gilbert L Wilson",Democrat
6,"James Beach",Democrat
6,"Louis D Greenwald",Democrat
6,"Pamela R Lampitt",Democrat
7,"Diane B Allen",Republican
7,"Herb Conaway Jr.",Democrat
7,"Troy Singleton",Democrat
8,"Christopher J. Brown",Republican
8,"Dawn Marie Addiego",Republican
8,"Maria Rodriguez-Gregg",Republican
9,"Brian E Rumpf",Republican
9,"Christopher J Connors",Republican
9,"DiAnne C Gove",Republican
10,"David W Wolfe",Republican
10,"Gregory P. McGuckin",Republican
10,"James W. Holzapfel",Republican
11,"Caroline Casagrande",Republican
11,"Jennifer Beck",Republican
11,"Mary Pat Angelini",Republican
12,"Robert D. Clifton",Republican
12,"Ronald S. Dancer",Republican
12,"Samuel D. Thompson",Republican
13,"Amy H Handlin",Republican
13,"Declan J. O'Scanlon Jr.",Republican
13,"Joseph M Kyrillos Jr.",Republican
14,"Daniel R. Benson",Democrat
14,"Linda R. Greenstein",Democrat
14,"Wayne P DeAngelo",Democrat
15,"Bonnie Watson Coleman",Democrat
15,"Reed Gusciora",Democrat
15,"Shirley K Turner",Democrat
16,"Christopher Bateman",Republican
16,"Donna M. Simon",Republican
16,"Jack M. Ciattarelli",Republican
17,"Bob Smith",Democrat
17,"Joseph V Egan",Democrat
17,"Upendra J Chivukula",Democrat
18,"Nancy J. Pinkin",Democrat
18,"Patrick J Diegnan Jr.",Democrat
18,"Peter J Barnes III",Democrat
19,"Craig J Coughlin",Democrat
19,"John S Wisniewski",Democrat
19,"Joseph F Vitale",Democrat
20,"Annette Quijano",Democrat
20,"Joseph Cryan",Democrat
20,"Raymond J Lesniak",Democrat
21,"Jon M Bramnick",Republican
21,"Nancy F Munoz",Republican
21,"Thomas H Kean Jr.",Republican
22,"Jerry Green",Democrat
22,"Linda Stender",Democrat
22,"Nicholas P Scutari",Democrat
23,"Erik Peterson",Republican
23,"John DiMaio",Republican
23,"Michael J. Doherty",Republican
24,"Alison Littell McHose",Republican
24,"Parker Space",Republican
24,"Steven V Oroho",Republican
25,"Anthony M Bucco",Republican
25,"Anthony R. Bucco",Republican
25,"Michael Patrick Carroll",Republican
26,"BettyLou DeCroce",Republican
26,"Jay Webber",Republican
26,"Joseph Pennacchio",Republican
27,"John F McKeon",Democrat
27,"Mila M Jasey",Democrat
27,"Richard J Codey",Democrat
28,"Cleopatra G Tucker",Democrat
28,"Ralph R Caputo",Democrat
28,"Ronald L Rice",Democrat
29,"Eliana Pintor Marin",Democrat
29,"L. Grace Spencer",Democrat
29,"M. Teresa Ruiz",Democrat
30,"David P. Rible",Republican
30,"Robert W Singer",Republican
30,"Sean T. Kean",Republican
31,"Charles Mainor",Democrat
31,"Jason O'Donnell",Democrat
31,"Sandra B Cunningham",Democrat
32,"Angelica M. Jimenez",Democrat
32,"Nicholas J Sacco",Democrat
32,"Vincent Prieto",Democrat
33,"Brian P Stack",Democrat
33,"Carmelo G. Garcia",Democrat
33,"Raj Mukherji",Democrat
34,"Nia H Gill Esq.",Democrat
34,"Sheila Y Oliver",Democrat
34,"Thomas P Giblin",Democrat
35,"Benjie E. Wimberly",Democrat
35,"Nellie Pou",Democrat
35,"Shavonda E. Sumter",Democrat
36,"Gary S Schaer",Democrat
36,"Marlene Caride",Democrat
36,"Paul A Sarlo",Democrat
37,"Gordon M Johnson",Democrat
37,"Loretta Weinberg",Democrat
37,"Valerie Vainieri Huttle",Democrat
38,"Joseph A. Lagana",Democrat
38,"Robert M Gordon",Democrat
38,"Timothy J. Eustace",Democrat
39,"Gerald Cardinale",Republican
39,"Holly Schepisi",Republican
39,"Robert Auth",Republican
40,"David C Russo",Republican
40,"Kevin J O'Toole",Republican
40,"Scott T Rumana",Republican
